source_id,source_name,dataset,access_status,schema_status,semantic_status,reference_compatibility_status,reliability_status,license_internal_research_status,license_local_storage_status,license_public_display_status,production_status,last_validated_at,success_rate,median_delay_minutes,empty_response_rate,rate_limit,fallback_source_id,notes
TENCENT_QUOTES,腾讯行情,ETF行情/前复权,CONFIRMED,CONFIRMED,UNVERIFIED,CONFIRMED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_APPROVED,2026-08-02,,,,,SOHU_HISQ,量=手已验证;独立对账源非官方
SOHU_HISQ,搜狐hisHq,指数/ETF历史,CONFIRMED,CONFIRMED,UNVERIFIED,CONFIRMED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_APPROVED,2026-08-02,,,,,TENCENT_QUOTES,万元→亿元已验证
EM_NAV,天天基金,NAV历史,CONFIRMED,CONFIRMED,UNVERIFIED,NOT_APPLICABLE,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_APPROVED,2026-08-02,,,,,FUND_MANAGER_WEBSITE,2014起覆盖
SZSE_RT,深交所,深市ETF实时,CONFIRMED,CONFIRMED,UNVERIFIED,NOT_APPLICABLE,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_APPROVED,2026-08-02,,,,,TENCENT_QUOTES,含真实成交额+netValue
SSE_QUERY,上交所query,历史份额,FAILED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_APPROVED,2026-08-02,,,,,TUSHARE_FUND_SHARE,6 sqlId全空
SZSE_REPORT,深交所报告,历史份额,FAILED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_APPROVED,2026-08-02,,,,,TUSHARE_FUND_SHARE,空/404
TUSHARE_FUND_SHARE,Tushare fund_share,ETF历史份额,CONFIRMED,CONFIRMED,CONFIRMED,NOT_APPLICABLE,UNVERIFIED,CONDITIONALLY_APPROVED,CONDITIONALLY_APPROVED,NOT_APPROVED,NOT_APPROVED,2026-08-02,1.0,,,,COMMERCIAL_VENDOR,2000积分实测通过;DAILY_SNAPSHOT;2015起
TUSHARE_TRADE_CAL,Tushare trade_cal,交易日历,CONFIRMED,CONFIRMED,CONFIRMED,NOT_APPLICABLE,UNVERIFIED,CONDITIONALLY_APPROVED,CONDITIONALLY_APPROVED,NOT_APPROVED,NOT_APPROVED,2026-08-02,1.0,,,,PUBLIC_CALENDAR,实测62开放日SSE==SZSE
JISILU,集思录,当日份额快照,CONFIRMED,CONFIRMED,UNVERIFIED,NOT_APPLICABLE,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_APPROVED,2026-08-02,,,,,TUSHARE_FUND_SHARE,amount_dt=T+1 08:06
FUND_DISCLOSURE,基金定期报告,持仓披露,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_APPLICABLE,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_APPROVED,2026-08-02,,,,,MANUAL_REVIEW,待解析≥2家
REFERENCE_SITE,参考站,复刻对照,CONFIRMED,CONFIRMED,NOT_APPLICABLE,CONFIRMED,NOT_APPLICABLE,NOT_APPROVED,NOT_APPROVED,NOT_APPROVED,NOT_APPROVED,2026-08-02,,,,,,仅复刻/对照不作真值
