internal_instrument_id,identifier_type,identifier_value,valid_from,valid_to,change_reason,source_document
INST-510300,SECURITY_CODE,510300,2026-08-02,,INITIAL,MANUAL_REGISTRY
INST-510300,TUSHARE_CODE,510300.SH,2026-08-02,,INITIAL,MANUAL_REGISTRY
INST-510310,SECURITY_CODE,510310,2026-08-02,,INITIAL,MANUAL_REGISTRY
INST-510310,TUSHARE_CODE,510310.SH,2026-08-02,,INITIAL,MANUAL_REGISTRY
INST-510330,SECURITY_CODE,510330,2026-08-02,,INITIAL,MANUAL_REGISTRY
INST-510330,TUSHARE_CODE,510330.SH,2026-08-02,,INITIAL,MANUAL_REGISTRY
INST-159919,SECURITY_CODE,159919,2026-08-02,,INITIAL,MANUAL_REGISTRY
INST-159919,TUSHARE_CODE,159919.SZ,2026-08-02,,INITIAL,MANUAL_REGISTRY
INST-510050,SECURITY_CODE,510050,2026-08-02,,INITIAL,MANUAL_REGISTRY
INST-510050,TUSHARE_CODE,510050.SH,2026-08-02,,INITIAL,MANUAL_REGISTRY
INST-510500,SECURITY_CODE,510500,2026-08-02,,INITIAL,MANUAL_REGISTRY
INST-510500,TUSHARE_CODE,510500.SH,2026-08-02,,INITIAL,MANUAL_REGISTRY
INST-159845,SECURITY_CODE,159845,2026-08-02,,INITIAL,MANUAL_REGISTRY
INST-159845,TUSHARE_CODE,159845.SZ,2026-08-02,,INITIAL,MANUAL_REGISTRY
