etf_code,etf_name,exchange,display_group,manager,dashboard_eligible,latest_report_date,latest_combined_ratio_pct,latest_combined_value_yi,rank_by_combined_ratio,source_snapshot,valid_from,valid_to
510330,沪深300ETF华夏,SH,宽基/沪深300,华夏,True,2025-12-31,88.62,2027.0115,3,EV004:universe.json,2026-08-02,
159919,沪深300ETF嘉实,SZ,宽基/沪深300,嘉实,True,2025-12-31,86.97,1713.5124,4,EV004:universe.json,2026-08-02,
510310,沪深300ETF易方达,SH,宽基/沪深300,易方达,True,2025-12-31,85.27,2556.9838,9,EV004:universe.json,2026-08-02,
510300,沪深300ETF华泰柏瑞,SH,宽基/沪深300,华泰柏瑞,True,2025-12-31,82.76,3494.0764,10,EV004:universe.json,2026-08-02,
510050,上证50ETF华夏,SH,宽基/上证50,华夏,True,2025-12-31,86.05,1513.9679,7,EV004:universe.json,2026-08-02,
510180,上证180ETF华安,SH,宽基/上证180,华安,True,2025-12-31,91.93,213.8143,1,EV004:universe.json,2026-08-02,
510500,中证500ETF南方,SH,宽基/中证500,南方,True,2025-12-31,76.86,1111.7939,12,EV004:universe.json,2026-08-02,
512500,华夏中证500ETF,SH,宽基/中证500,华夏,True,2025-12-31,65.76,118.8929,13,EV004:universe.json,2026-08-02,
159922,中证500ETF嘉实,SZ,宽基/中证500,嘉实,True,2025-12-31,44.32,69.1599,17,EV004:universe.json,2026-08-02,
515800,中证800ETF汇添富,SH,宽基/中证800,汇添富,True,2025-12-31,30.48,16.3715,19,EV004:universe.json,2026-08-02,
560010,中证1000ETF广发,SH,宽基/中证1000,广发,True,2025-12-31,91.86,330.1042,2,EV004:universe.json,2026-08-02,
512100,中证1000ETF南方,SH,宽基/中证1000,南方,True,2025-12-31,86.43,682.5798,5,EV004:universe.json,2026-08-02,
159845,华夏中证1000ETF,SZ,宽基/中证1000,华夏,True,2025-12-31,86.15,429.8955,6,EV004:universe.json,2026-08-02,
159629,中证1000ETF富国,SZ,宽基/中证1000,富国,True,2025-12-31,85.36,113.3072,8,EV004:universe.json,2026-08-02,
159915,创业板ETF易方达,SZ,宽基/创业板,易方达,True,2025-12-31,54.03,542.2503,15,EV004:universe.json,2026-08-02,
159952,创业板ETF广发,SZ,宽基/创业板,广发,True,2025-12-31,15.43,21.1768,25,EV004:universe.json,2026-08-02,
159977,创业板ETF天弘,SZ,宽基/创业板,天弘,True,2025-12-31,8.94,0.7697,29,EV004:universe.json,2026-08-02,
588080,科创50ETF易方达,SH,宽基/科创50,易方达,True,2025-12-31,41.95,296.444,18,EV004:universe.json,2026-08-02,
588050,科创50ETF工银,SH,宽基/科创50,未识别,True,2025-12-31,11.78,13.4213,28,EV004:universe.json,2026-08-02,
159901,深证100ETF易方达,SZ,宽基/深证100,易方达,True,2025-12-31,46.93,33.0884,16,EV004:universe.json,2026-08-02,
560050,汇添富MSCI中国A50互联互通ETF,SH,宽基/MSCI中国A50,,False,2025-12-31,11.85,4.7892,27,EV004:universe.json,2026-08-02,
510230,国泰上证180金融ETF,SH,金融/稳定权重,,False,2025-12-31,77.59,36.3257,11,EV004:universe.json,2026-08-02,
512640,嘉实中证金融地产ETF,SH,金融/稳定权重,嘉实,True,2025-12-31,62.89,0.3389,14,EV004:universe.json,2026-08-02,
159851,华宝中证金融科技主题ETF,SZ,金融/稳定权重,,False,2025-12-31,24.09,24.3466,21,EV004:universe.json,2026-08-02,
516860,博时金融科技ETF,SH,金融/稳定权重,,False,2025-12-31,8.22,1.7708,30,EV004:universe.json,2026-08-02,
512660,国泰中证军工ETF,SH,成长/制造/科技,国泰,True,2025-12-31,25.2,26.864,20,EV004:universe.json,2026-08-02,
516110,国泰中证800汽车与零部件ETF,SH,成长/制造/科技,国泰,True,2025-12-31,14.92,0.8836,26,EV004:universe.json,2026-08-02,
159995,芯片ETF华夏,SZ,成长/制造/科技,华夏,True,2025-12-31,1.92,4.8525,36,EV004:universe.json,2026-08-02,
515790,华泰柏瑞中证光伏产业ETF,SH,成长/制造/科技,华泰柏瑞,True,2025-12-31,0.8,0.9012,40,EV004:universe.json,2026-08-02,
512010,易方达沪深300医药ETF,SH,消费/医药,易方达,True,2025-12-31,5.87,9.951,31,EV004:universe.json,2026-08-02,
512690,鹏华中证酒ETF,SH,消费/医药,鹏华,True,2025-12-31,3.3,6.2283,33,EV004:universe.json,2026-08-02,
515170,食品饮料ETF华夏,SH,消费/医药,华夏,True,2025-12-31,2.27,1.2891,34,EV004:universe.json,2026-08-02,
159865,国泰中证畜牧养殖ETF,SZ,消费/医药,,False,2025-12-31,1.47,0.8762,37,EV004:universe.json,2026-08-02,
512170,医疗ETF华宝,SH,消费/医药,华宝,True,2025-12-31,0.32,0.8212,41,EV004:universe.json,2026-08-02,
159605,中概互联ETF广发,SZ,跨境/海外,广发,True,2025-12-31,17.49,7.567,24,EV004:universe.json,2026-08-02,
513050,中概互联网ETF易方达,SH,跨境/海外,易方达,True,2025-12-31,3.59,14.2299,32,EV004:universe.json,2026-08-02,
511860,博时保证金货币ETFA,SH,货币/现金ETF,,False,2025-12-31,17.69,0.0828,22,EV004:universe.json,2026-08-02,
016002,博时保证金货币ETFA,SZ,货币/现金ETF,,False,2025-12-31,17.69,0.0008,23,EV004:universe.json,2026-08-02,
512400,南方中证申万有色金属ETF,SH,周期/资源,,False,2025-12-31,2.11,4.3372,35,EV004:universe.json,2026-08-02,
515210,国泰中证钢铁ETF,SH,周期/资源,,False,2025-12-31,1.31,0.5207,38,EV004:universe.json,2026-08-02,
159870,鹏华中证细分化工产业ETF,SZ,周期/资源,,False,2025-12-31,1.1,1.8739,39,EV004:universe.json,2026-08-02,
